Text,Reason,Label
disappointed with the mobile version.,sound quality is poor despite fiber connection,0
i can not record audio and video on this plateform for the future use.,unable to install on tv,0
"poorly made, bad quality, i hate school",poor quality of education,1
this app is good but it wastes a lot of battery.,pip is not working,0
"while watching ipl matches , the app keeps on crashing every now and then.",want to delete virtual background,0
when host removed me from the meeting i can not join please do something,good for connecting to classes,0
very good for meeting.,want to install bgt,0
it does not work well with live streaming,live streaming has issues,1
it is a very good help to create good friendships,good for creating good relationships,1
please tell how to connect audio with bluetooth speaker in android.its not connecting,app is user friendly,0
the app crashes every 10 minutes.,app crashes every 10 minutes,1
this app is very helpful to collaborate with friends welcome,app is good for collaborating,1
"hope the developer optimizes the application better for this table line, and should update the language switch section in the application.",language switching section should be updated,1
"it is also convenient to organize meetings over long distances, no one needs to go anywhere, and this in turn saves a lot of time and effort on the way and preparation.",want to use zoom,0
movies freeze up or the pixels get messed up while viewing.,want to setup a new group,0
it tells me i am not eligible to sign up at this time,worst application for students,0
the application does not open on the redmi note 8 device.,unable to open on redmi note 8,1
"good option, ths used to help me contacting my relatives",good for digital management,0
"fantastic app, moderate prices and suitable for everyone!",want to add features for teachers,0
the app does not support picture in picture for androids.,unable to use picture in picture mode on android,1
but when the internet is a little slow it takes a long time,good for online studies,0
this app is my favourite but there is a problem that is in most of the time i can not enter the meeting although my speed of the net is fast and one more problem is there i.e. we can not use virtual background in smartphone .,want to upload backgrounds,0
sign in and sign process is very delay,sign in and signout process is time consuming,1
i can not record audio and video on this plateform for the future use.,want to split screen into two parts when working in zoom,0
"before releasing an update, it is to be tested.",need to test before update,1
"because of this, i can not sign in to zoom.",want to set up app,0
highly recommend very good for when you want to watch tinker bell with someone all the way in australia when you are very far away from australia also very very very good for watching old people fall down stairs with said person fron australia.,good for watching old people fall down stairs,1
technical support does not respond.,unable to view live cricket,0
"many times the sound is not activated in the meeting, please correct it",good for watching marvel movies,0
please add a floating window picture in picture mode when you minimize the app like webex (add mute buttons).,want 144p video quality option,0
"the new window cannot be removed when the application is minimized, it always knocks back to the conference",internet is slow,0
can someone tell my how to start a call?,installing a backdrop is difficult,0
update: got pip mode but still controlling/remote control of shared device not available for android.,pip mode is not available for android,1
my phone overheats with this app.,problem persists after reinstalling app,0
"also if the closed captions feature is activated , the font is very small and impossible to modify.",want to do device check,0
"bad sound despite ""fiber"" connection",sound quality is poor despite fiber connection,1
"when entering a conference or moving to the session hall, 24mb zoom emojis are downloaded all the time.",want to find microphone button,0
it is a great help for multiple events.,screen splitting does not work correctly,0
app crashing during important ipl final.pathetic streaming platform.,receiving not eligible for zoom message,0
very good quality only that the quality depends on your network but very good service 10/10,good app for sports,0
videos freeze while audio still plays.,zoom app sucks on phone,0
it is not possible to log in either from the pc or from the tv.,want to join meeting after getting removed by the host,0
but now it dosnt login to a meeting even after 5mins beacause of that,app is slow compared to other platforms,0
web version is crap can not hear dicc ruined whole meeting so have to download this app,want to join class,0
bluetooth support is horrible.,want to put filters on phones and tablets,0
thank you for putting the new owl house episodes on [?],want another season for owl house,1
"if you use zoom on mobile (usually used with an ipad), the zoom participant screen will continue to blink in recent years.",video freezes while playing,0
does not allow me to see more than 4 screens despite having enough screen space for more (tablet).,want to see more than 4 screens,1
hard to store can not do it,want to fix error 1132 on ipad,0
"for the following updates please add feature to create breakroom, and baground video dg using photo and video on all hp android, without using high specifications.",web browser audio not working,0
also it did not even have passcode as an option,want to get passcode option,1
it would be interesting to be able to create a scheduled meeting,unable to play ipl in hotstar,0
"i can not delete a virtual background photo, how do i do it?",connection is permanently cut off,0
i can not get into the chat room many times,ability to add background music,0
disney is exposing my kids to sexuality too young.,emojis are downloaded,0
its not connecting to internet,want to connect to netwrk,1
the links do not open me and it tells me error 1132 all the time i deleted it,want compatibility with more smart televisions,0
every time i enter the app on my cell phone it takes a long time to open.,want to stop calls,0
i am missing a class,sharing videos is easy to use,0
"video quality is poor, and continuously interrupted with buffers.",video keeps buffering,1
the app is very good and the call quality is extremely good.,good for connecting to distances,0
"after spending months using it, it gives me error code 1142 saying that i can not connect from spain.",microphone is not working when joining from browser,0
"also, the sound of recording in progress is loud, and it suddenly makes a sound when recording starts, so it is very noisy and frustrating.",sound of recording is loud,1
when i have class it is automatically disconnected and connect and,unable to charge on cell phone,0
i can airplay it but lately it will not connect.,app keeps charging,0
how can i install whatsapp,want to install whatsapp,1
why are the commercials so loud.,camera switches off automatically,0
best streaming service ever.,want to cast zoom into television,0
i did not get a chance to pass my dm to my teacher because of this.,app is user-friendly,0
very good only that it does not connect sound to the bugles via bluetooth,gameplay and graphics are bad and unable to customise characters,0
how do i post my profile picture with my ipad 9th gen,unable to update app,0
downloaded movies cannot be watched without the internet.,unable to work on any device,0
there is still no audio on my ipad!,screen is black,0
but need a little bit improv like adding moveable background and other.,want to cancel account,0
different mobile so something difference,mobile version is different,1
zoom is an excellent meeting app.,ipad version is good,0
very worst app can not able to run ipl or online content,want blurred background feature,0
the truth is this application has very bad graphics i expected more from this brand,want to change background on iphone,0
I am going into zoom you background to open my exam and my camera switches off automatically.,camera switches off automatically,1
no virtual images coming after updating the app,want to play in cooperative mode,0
best streaming channel ever,best streaming service,1
"everything lags, it is impossible to enter the system",want to select background during meetings,0
"through the phone, the application is silent (uninstalling the application and downloading and a new installation did not fix anything).",uninstalling the application did not fix anything,1
i do not know how to enter a zoom meeting.,good quality of conferences,0
this app is good for watching classics etc.,interface of background needs improvement,0
i think hulu is very expensive.,facing connection problems with the app,0
but do not connect and says error problem,want to connect,1
"from yesterday, can not connect on mobile or tablet.",want to add more backgrounds,0
no options exist to change subscriptions in the mobile app.,app crashes when the internet is stable,0
i could not download it to my tablet even though i had previously used it without problems.,want to download the app on tablet,1
why should subscribers pay their money and get disappointed all the time?,app subscription is not worthy,1
audio quality is very poor.,want to remove taskbar,0
i am unable to login to my zoom id even when i have logged into my gmail account,want to use video blur,0
you can not change the name properly,want to pass classes,0
"and no where to upgrade the plan, please assigned a button for upgrade to others plan also.",want to upgrade plan,1
i could not open my nephew's baby shower.,phone restarts automatically,0
it is tough to understand the app,data usage is bad,0
my 1 year subscription amount is wasted.,good app for conducting calls,0
"stupid, the interface is not clear!!",app crashes during playback,0
better viber than zoom,viber is better,1
videos do not play.,download speed is very slow,0
would be great if the auto play next episode worked.,screen is black,0
the app sucks to many #s and passcode,app is bad for passcode,1
can not even read / write messages simultaneously.,want to find video filter,0
"my volume button do not able to silent my phone, what a bad app",want to mute phone,1
i do not know how to meet google if you can.,unable to meet google,1
cannot use zoom as a vip paid user.,want to use app as vip paid user,1
the application is unstable on tablets.,app is unstable on tablets,1
but it does not what a disappointing app which version has virtual backgrounds?,app has virtual backgrounds,1
this app is not working in qatar..,unable to open app in middle east,1
best streaming service ever.,good for streaming,1
help me install my zoom cloud meeting,good for family and class gatherings,0
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1
while watching movies via streaming the video is jittery and the frame rate lags even though i have good internet connection.,video keeps stuttering,1
the mail does not work for them.,unable to sign up for hulu,0
mirror mode is horrible,joining classes is time consuming,0
please add a meeting volume adjust,espn is bad,0
password cannot be recovered,password cannot be recovered,1
the handling for the various screen presets is not optimal,app subscription is not worthy,0
i can not talk in class,unable to open app in middle east,0
not able to join any meeting smoothly after every minute my zoom disconnects and shows error,unable to join zoom rooms,1
i love all the shows available on hulu,want to access free space,0
"it is only working on mobile data , it is not working on wifi",want message recall function,0
this is worst app this has a lot network issue does not work well,chinese language support is good,0
"good option, ths used to help me contacting my relatives",app uses too much data in 20 minutes,0
i routinely have to force close the app to make it work properly.,want to access viber link,0
i can not even hold a fight,want to hold a fight,1
"easy to use.better for students,for classes",platform has poor quality of content,0
it does not work properly on most devices.,want to disable auto rotate feature,0
how do i switch to paid content?,want to switch to paid content,1
the app scores are getting lower and lower.,subtitles are small on tv,0
"it really annoys me, because in my account I am using i cannot change my name, or profile picture, and my name is completely different then my real one, and half my school does not know.",unable to watch select content on disney+,0
app is great.but too many ads.,screen is black,0
can not record audio .,want to record audio,1
terrible when coming to live streaming.,good app for school,0
dolby atmos does not work on firetv.,unable to use dolby atmos,1
no to animal abuse stop putting tasks,facing issues with update when joining a meeting,0
but i have a problem of connecting it disconnect and again reconnect after 1 min,want to enter alphabets,0
app crashing during important ipl final.pathetic streaming platform.,app crashing during ipl stream,1
i can not activate the system,unable to use picture in picture mode on android,0
but soon the screen turns black and,app shows black screen,1
the constant download of emoji packages interrupts the connection.,customer service needs improvement,0
how do i switch to paid content?,want to install standard settings,0
can not reverse the camera,want to reverse camera,1
"as for now, zoom app is not able to connect to car bluetooth.",uninstalling the application did not fix anything,0
low quality in full hd resolution..,want to enter breakout room,0
the loading page appears and it is running continuously.,unable to watch movies and shows,0
how to translate a language?,app performance is bad,0
"terrible app, not optimized, works terrible",app has buffering issue after the update,0
app fails to work offline despite being up to date.,good for personal and professional projects,0
we need add close caption for deaf who can not hear please you can put add for close captions on zoom by wednesday morning,want to add close captions,1
why could not i do a device check??,unable to receive otp,0
and i can not make individual participant boxes large.,want to share link,0
very good quality pictures and graphics,unable to load the episodes list,0
i can not play video over wi-fi.,unable to open app with wifi,1
but 1 - you can not delete zoom chat messages,unable to delete message in zoom chat,1
the link could not be written.,sound is constantly glitching,0
how to sign in zoom hotmail id,want to sign in with zoom hotmail id,1
the app is lagging while playing video.,ads are annoying,0
it helps me a lot with regards to my spiritual needs.,want volume adjust feature,0
dolby atmos does not work on firetv.,want to install,0
"when i enter the app, a warning appears that ""the app is available in certain regions"".",meeting gets disconnected,0
"they say ""you can not register for zoom at the moment""",app never freezes,0
good background effects and good quality video.,want to cancel subscription,0
i want to watch free movies,want to watch free movies,1
"hi, i have black screen when i switch to see active speaker.",want to have calls while other apps at the same time,0
how to save data or use less,want to record points,0
it is not possible to have calls by other applications at the same time when you are connected to the zoom,unable to make payment,0
since then i can not get the computer to work anymore.,want to use computer,1
so you can delete your posts,multiple windows are opened when you go into the breakout and audio stops working,0
it gives an error 403 and does not allow you to enter.,want to send audio,0
picture in picture functionality does not work.,unable to use picture in picture mode,1
espn sucks it is so bad,espn is bad,1
my classes go in this app but graphics are bad,graphics are bad,1
it always needs an update the sound system is terrible,sound system needs an update,1
can not even link properly to my email.,want to link to email,1
zoom does not cater for android users.,zoom does not cater for android users,1
of course you need to connect to google,want to connect to google,1
the new zoom feature which enables us to shift to other pages while still keeping the video on is awesome.,new zoom feature is good,1
i had not visited hulu for a while on my ipad.,unable to use hulu on ios,1
i can not download this zoom app,app unmutes automatically when switching between breakout rooms,0
this app is not suitable for meeting,want to load profile page from hamburger menu,0
he will not let me put funds on my cell phone,want cook with comali episodes on time,0
"the application fu, we learn from it and the emoticons are not beautiful there",good app for cloud meetings,0
no connection can be provided from mobile..,unable to connect on mobile network,1
i can not change my language to russian or ukrainian!,want to change russian language,1
but it takes so much battery and net,battery and data consumption is high,1
does not work on a samsung s7plus tablet.,unable to download the app,0
i need background photos too.,want to connect audio,0
i love hulu but the app will not show episodes of tv shows,want to sign in in chinese,0
"it is slow, still buffering.",want to connect to audio automatically,0
"if you use it through the mobile app, you do not receive files from other people in the chat",want to put filters on phones and tablets,0
can you give me indonesian language ?,want indonesian language support,1
that we have the option to delete the chat,want to delete message in zoom chat,1
how to change video background?,want to put background image on video,1
worst app for online classes,sound cancellation is good,0
how do i get to a conference if i can not log in?,want to login with phone,1
there is a problem on bluetooth audio and device audio.,want to record youtube video,0
birthdate information will not load.,unable to use hulu on android,0
video and audio are loud and clear,want to record audio while screen recording,0
no sound is possible without switching on the microphone.,unable to see past episodes after update,0
please add the mir card as a possible payment method.,want to enable vbg for all devices,0
it is in german - how can i switch to dutch or english please ?,want dutch or english language support,1
easy to open and start my class quickly.,want to download memory,0
"every time you go to the meeting or every time you learn online, you need to enter your password again.",getting black screen with audio,0
weblink does not work on ipad browser(google),weblink does not work on ipad browser,1
"and that too the pop up will not close even after tapping on the ""x"" button.",want to receive files in chat,0
"easy to use.better for students,for classes",good for students,1
i absolutely love this app but there are so many tv shows missing!,want to enter alphabets,0
this app quality is very poor,poor quality of product,1
you can not change the name properly,want to change name,1
i do not want to see stupid app notifications and there is no way to disable them.,want to disable notifications,1
how can i update the zoom app?,episodes are missing,0
best app for tv,want to load skins,0
i enter the identification code and give an error.,good for video sharing,0
it will not change screens & no control panel.,skype is better,0
how can we cancel emoji package downloading?,want to stop downloading emoji package,1
the sound connection is poorly done (you need to use headphones and then on the inscription,sound connection is poor,1
it seems certain features have not appeared in the mobile version of zoom.,use zoom for recovery based meetings,0
best app for watching cricket,update is taking too long,0
hope creative manufacturers can add block function to not mind the matching trg is not worth having,good for personal development,0
this app is very glitchy especially on a green screen background the ads are kind of false advertising because they look so high quality when in reality,want to change screens,0
I am always pushed out of a meeting and this app always needs constant upgrade which eats my data way too much,getting pushed out of meeting and updates are too frequent,1
I have deleted and re-download the app twice and now i can not even log in.,want to change the app name to adstar,0
"just one issue, high data consumption",data consumption is high,1
one of the best app for online class.. but only 45 min we can do.,receiving not eligible for zoom message,0
"since the upgrade, i can not get into breakout room",facing issues with breakout rooms after latest update,1
i love zoom and for real zoom help you every time when you are home school,video quality is best,0
i need to listen in the spanish language thanks,want spanish language support,1
i can not join my meetings with my vodafoneidea sim mobile data why??,good app for conversation,0
they are still sucking money out of my account with no means to cancel at this time.,want to stop amount deduction,1
i am very angry to this app because it consumes 1.50 gb data in 20 minutes when i use,data usage is bad,0
"netflix might be taking losses, but they have a much better viewing experience.",netflix is better,1
"when there is a problem, support is non-existent.",want to record audio when not the host,0
the settings are not displayed on the screen.,settings are not displayed on the screen,1
it is a gameplay mui bad controls and very bad graphics very deplorable and a bad online also has a very bad story that does not make sense birds very bad game,gameplay and controls are bad,1
different mobile so something difference,unable to load due to error,0
"you should add the option to remove from the ""continue watching"" list.",sound connection is poor,0
considering that you cannot recover objects without coming to the surface and if there is a surface contact serca in 2 seconds it will sunk you.,want to recover objects without coming to the surface,1
unable to enjoy a conversation without a second line to hear other people.,mirror mode is horrible,0
"this app is amazing,we can screen share also",want to schedule a meeting through mobile and facing audio issues,0
for me i could't find video filter,want to find video filter,1
the application does not work on mobile phones or tv.,unable to use on mobile and smart tv,1
"i uninstalled it and tried to install it again, but i could not.",want to connect to high speed net,0
"it is speaker is also not working properly, even though my mobile is perfectly fine.",audio and video quality is good,0
i can not log in to facebook,want to log in and sign up for membership,0
my only problem is sometimes i get kicked off during peak hours of use when using the hotspot with my laptop,hotspot is not working during peak hours,1
I would like to be able to minis the screen while i scroll thru other apps,want to minimize the screen while scrolling through other apps,1
"I am so sad, and light disappoint because this app on iphone do not have feature allows user to change background in meeting.",want to isolate speaker in break out room,0
a terrible application with disgusting controls.,want to connect to camera,0
"i can not turn the sound off, i can not turn it on.",want to remove horizontal and vertical stripes,0
I have been trying to cancel my subscription for a while,unable to unsubscribe,1
you also try this please add some new features background wallpaper features like,want to lock the breakout room,0
i have major problem with buffering of this app,joining the meeting is time consuming,0
i can not change my language to russian or ukrainian!,want to add contacts,0
bullsh!t having trouble trying to sign to class but saying idk,video sending pauses during multitasking,0
"moreover, since november, i can not confirm my account because i do not receive messages.",want wallpaper replacement feature,0
zoom has improved a lot recently.,zoom lags terribly,0
"when you try to log in through an institutional account, you enter a loop that ends 6 hours later without actually signing you in.",getting connection error issue,0
and i do not know how to navigate the app.,want to use video blur,0
provide screen recording features without permission of host,want to register with iphone,0
poorest service very disappointed,use zoom to watch school activities,0
continuing watching but not being able to click on a different episode is ridiculous.,want to get blur option,0
the quality of the images is not good.,want to put controls at bottom of screen,0
it will not load after i logged in.,greek language is absent,0
great experience using zoom all i wanted was more new features like video background editing option in ipad,want video background editing option,1
i am unable to blur my background..,want to blur the background,1
i try to log into a meeting the app says update,app is slow,0
please cancel the requested transaction.,want to cancel transaction,1
plus i keep getting logged out of my account,easy to login for kids,0
add pip picture-in-picture support for iphones,want to add photo,0
"it quickly falls into idle, the greek language is absent.",greek language is absent,1
we have a good remote control app and i use it for school.,good remote control app,1
this is how i pass exams if this app distorts the sound and picture so much.,app distorts sound and picture,1
why could not i do a device check??,want to do device check,1
verstile app for learning and for social meetings,good for learning and for social meetings,1
my zoom lags and lags i try to join my class,want to be anonymous in a meeting,0
why no video backgrounds yet?,unable to use disney plus on tv,0
and it is good for kids,unable to watch espn+,0
and i had trouble with zoom cloud meetings.,want to use background replacement feature,0
i will not let me put my date of birth,want recording option in mobile,0
call gets disconnected and app restarts,call gets disconnected and app restarts,1
i love just i wish they would add more animes,want anime content,1
upcoming meetings are not in sync.,upcoming meetings are not in sync,1
I would also love to be able to control remote screen from the ipad.,app is not working on iphone,0
what is up with our not being compatible with a blue tooth speaker?,want to put background on the app,0
i am not getting jio tv properly.,voice is mute,0
"it does not allow me to put a background image on my cell phone, even though i have looked for an option that allows me to do so it does not appear.",want to change background in model class,0
makes the app unusable.,accidentally disabled email authentication in the settings,0
and it said sign in failed in chinese,want to remove ads,0
love the app as i get to keep up with all sports events,video freezes,0
please add a meeting volume adjust,want to adjust meeting volume,1
i could not watch my favourite serials.,unable to watch movies and shows,1
I am trying to register - an error.,want dutch language support,0
very annoying not being able to get a full screen view.,want to get full screen view,1
you should decrease your subscription fee.,want to connect using meeting url,0
i love this because i can download movies and watch anytime without data,audio and video quality is good,0
will not let me even install it,want to install,1
being able to rewatch old disney dramas is great!,good to rewatch classic disney content,1
every time i update my profile picture and join a meeting the profile picture looks blurred.,want to get touch up appearance option for android,0
and pls add virtual background for tabs,facing issues with zoom cloud meetings,0
"if i close and reopen the app , it keeps buffering persistently .",password cannot be recovered,0
good background effects and good quality video.,good background effects and good quality video,1
very good user interface and experience.,want to change email address,0
a great tool to connect and share with groups,want to change status on mobile,0
i can not install it on my aoc smart tv,android does not have the ability to create and open session rooms,0
"zoom lags terribly, there are frequent crashes, not only for me, but also for my classmates.",want to load skins,0
i give it 1 star i do not like graphics and you can not change characters i do not need it on my phone,graphics is bad and unable to change characters,1
why not put subtitle settings?,unable to select subtitle,1
i can not get past the loading screen.,want to zoom in or zoom out,0
nice but unable to use background option in phone even have the lastest android version,want to exchange cards,0
no virtual background or blur funtion for samsung galaxy tablet s6,want to connect to device,0
browser access does not work with chrome on android,app is expensive for online classes,0
the game is very bad when you reach the end it bugs and the boss kills you and the graphics suck,background voice issue,0
no longer compatible with my device for some reason.,facing compatibility issues with the app,1
"i do not know why, but the sound is disabled by default, you have to go to the settings to activate it for the first time",want to connect using meeting url,0
my shows will not load.,unable to load shows,1
s22 ultra does not work.,want to open live videos,0
it always needs an update the sound system is terrible,add arabic to the application,0
"i can not use google drive, pages, notes, etc while using zoom.",class gets disconnected,0
it would be awesome if you implemented native picture in picture mode for video calls so we can minimize the app while keeping a call on the screen,app keeps hanging,0
the mobile version does not allow me to receive document format files.,chat bot is not working,0
"very good app, but after the last update it shows a white line on the left of the screen",want to improve photo sharing,0
it does not allow me to change the language of the subtitles,want to find camera option,0
in my mobile zoom meeting not working in jio sim,want to keep background pictures,0
i have major problem with buffering of this app,app has buffering issue,1
"and no where to upgrade the plan, please assigned a button for upgrade to others plan also.",mobile version does not allow document format files,0
"i mainly use it for yoga lessons, but i can no longer turn off the center camera in the control center, and i can not capture the entire pose.",want to turn off center camera in the control center,1
how can i install whatsapp,want to change email address,0
too many bug in this app always hang.,want to activate audio,0
"split screen while conversing: if you change zoom from split screen to full screen, you might lose all audio control.",converting split screen to full screen will lose audio control,1
very bad quality of system and i gave only one star because to improve the quality of this aap..,poor quality of system,1
bluetooth option plays through phone speaker option playstation speaker on phone will not connect to multiple devices.,unable to update app,0
unfortunately there is no possibility to share a video with sound!,want to share video with sound,1
bluetooth option plays through phone speaker option playstation speaker on phone will not connect to multiple devices.,bluetooth speaker is not connected to multiple devices,1
"my zoom app has refused to update even when there is data and network, and i have a very important zoom meeting to attend today, pls can you people help",want to change name and profile picture,0
but i can not link my cell phone to the tv.,unable to cast video from cell phone to tv,1
i can not enter maximum 100 people,speaker is not working properly,0
"add the function please lock the microphone, not just mute.",frequent updates are annoying,0
how to change video background?,unable to join,0
"you should add the option to remove from the ""continue watching"" list.",uploading video shows black screen,0
very good working tool,want to transfer user data to tsar,0
hulu does not play on my roku devices!,good for cricket and serials,0
very poor service from hotstar.,want to view multiple screens after upgrade,0
after update zoom meeting not starting.,video keeps pausing automatically,0
"i can not register, plus the lack of ukrainian language, please correct it and put a good assessment",want to register and want ukrainian language support,1
fix password error and invalid id,want to access tablet,0
very good app to keep interacting at school and work,good for school and work,1
but the app sometime have a litle bit lag when my teacher share the screen and the video.,unable to install,0
"not able to log in ,my account is locked",host voice gets fuzzy,0
the mobile version does not allow me to receive document format files.,mobile version does not allow document format files,1
can you give me indonesian language ?,want to use studio effects,0
it is necessary to open live videos,want to download zoom cloud meeting,0
i love hulu but the app will not show episodes of tv shows,easy to login for kids,0
i can not watch it on android!,unable to watch shows,0
there should be a option of co host in android.,want co host option in mobile,1
can not set photos,zoom conferencing stopped after 15 minutes,0
it will not let me watch or load on my android,unable to play video on android,1
i can not sit and listen to meetings with my car speakers anymore.,loads are high,0
"good quality of conferences, and a pleasant experience from the application",app crashes when starting a movie,0
when i play it the screen just turns black.,zoom speed becomes 20kb ps,0
i can not connect to the tv.,want to lower age limit,0
multiple windows are opened when you go into the breakout and audio stops working..,poor quality of education,0
there are not easy way to unsubscribe from zoom.,want to unsubscribe from zoom,1
it has no recording option,want recording option,1
"""wrong conference code"", although everything goes well for everyone",arabic language does not exist,0
re: mobile.really terrible design that launches you into meetings without giving you a preview of yourself which has caused me to suddenly enter a meeting with video and audio on in the past.,want to use background replacement feature,0
very good application developers please turn on the sound when you log in from the phone,want to install russian version,0
it is just taking a lot of time to connect to meetings,unable to use hulu on ios,0
payment method is too difficult.with only one option credit card,want to remove ads,0
"images uploaded for polls do not pop up in certain devices, and can not find help anywhere",want to find polls in certain devices,1
"internet loads badly, for a long time",audio is breaking,0
the content is not bad but not rich enough.,streaming content is less,1
i feel zoom is excellent' still the same' has not let me down.,app keeps hanging,0
"i use to use zoom on both my tablet and mobile with same account in same time, so it very easy to switch between device and its very useful.",want to set virtual background on mobie,0
"can not use zoom app in android tv, please devlope it for android tv",music is not translated on zoom,0
i can not remove my profile picture please resolve this issue,want to remove profile picture,1
subtitles do not work well.,want to stop calls,0
the videos do not play and the app stops.,want to record audio when not the host,0
constant crashes and problems,joining the meeting is time consuming,0
could be a little clearer voice control,want to get a refund,0
zoom does not cater for android users.,lost audio and video,0
but it does not support arabic language..,data is lost,0
could not figure out how to start a session,streaming quality is bad during ipl matches,0
nice but unable to use background option in phone even have the lastest android version,unable to put background on android phone,1
the mail does not work for them.,want to receive mail,1
i can not share my screen!,no configurability of how participants are displayed,0
can not use video filter and studio effects,want to use studio effects,1
but i gave 4 star reason we can not add profile photo without sign in or sign up,russian programmers are good,0
best app for children,good quality of education,0
please put the controls at the bottom of the screen.,want to put controls at bottom of screen,1
this app is not working on android devices,unable to load the android app,1
put zoom on home screen.,good for conveying material,0
"the picture quality is good, and the sound is very good",volume is too low,0
i think this app must be modified the camera quality because it is camera quality is literally worse in my opinion,good for virtual meetings,0
"please help, horizontal and vertical stripes appeared on the computer, they remain after the reboot, i do not know how to remove, there is nothing in the settings",want to add profile photo without signing in,0
very worst app can not able to run ipl or online content,bad app to watch ipl,1
but i want to know how can i record the meeting??,want to record a meeting,1
"that one prevents me from using headphones in meetings, or render she app unusable at all, forcing me to use my laptop instead.",want to use headphones in meetings,1
"it have been a good app,it help me get along with family and friends",want to access text box,0
not a smooth sign up either.,sign up experience is bad,1
"well after i set my account i was trying to joint my zoom meeting they kept on telling me ""switch account"" and they will not let me change my name and photo . not impressed",want to join meeting and change name and photo,1
tragic impossible to enter the meeting all the time crashes and the miccophone is not functioning despite buying a new,data is lost in meeting rooms,0
"every movie or series i watch, i have to turn off the subtitles.",unable to turn off subtitles,1
"netflix might be taking losses, but they have a much better viewing experience.",phone screen sharing is slow,0
the ability to limit who can hear the audible alert when a participant enters the waiting room.,want to limit the audible alert when participant enters the waiting room,1
I have uninstalled and reinstalled twice to no avail.,reinstalling did not work,1
not able to mirror screen onto smart tv,want to mirror screen onto tv,1
nice app but remove videos option,want to remove video option,1
you should add more background and face stickers,want to add face stickers,1
network stability is still poor,unable to adjust playback speed,0
the application is nice but you need turkish language support,want to close the app and watch video on the small screen,0
"happy, tablet not able to have all settings.",want to have all settings,1
"while watching ipl matches , the app keeps on crashing every now and then.",app crashes while watching ipl matches,1
quick simple to set up and value for money,app is user-friendly,0
i can not find my saved broadcasts.,good for table management,0
create a dodol zoom,create dodol zoom,1
the sound in the wireless headphones falls off intermittently for 1-2 minutes.,want to put controls at bottom of screen,0
multiple windows are opened when you go into the breakout and audio stops working..,multiple windows are opened when you go into the breakout and audio stops working,1
no option for chating,zoom app is slow,0
"after spending months using it, it gives me error code 1142 saying that i can not connect from spain.",want to hear audio and meeting gets disconnected,0
will not let me sign up.,want to sign up,1
nihuevo transfer all user data to the tsar?,easy to set up,0
"it is reasonable, i have an account problem, zoom does not recognize my email password, so i can not create my meeting room",improve zoom for users,0
best cricket and entertainment app,want to upload backgrounds,0
it is impossible to enter a conference,want ukraine flag in emoticons,0
why can not i stream my meeting to my apple tv.,want to stream meeting to apple tv,1
"this app is creating trouble after the update as one cannot control the features such as mic on or off , video on or off after screen sharing starts.",app is not working,0
please stop detecting phone model and jus enable vbg for all devices.,want to open voice,0
and why we can not take or host a meeting without sign in ?,mobile app has no background,0
i give it 1 star i do not like graphics and you can not change characters i do not need it on my phone,app keeps saying something went wrong,0
subtitles on chromecast are tiny.,app freezes frequently during login,0
can not use background image,want filters from instagram,0
i am unable to log into my school account,want to login to school account,1
but when i open zoom speed becomes 20kb ps.,app is not working after latest update,0
"when i want to change the volume, the system bar changes without affecting zoom.",want to connect to the conference,0
you also try this please add some new features background wallpaper features like,want to add background wallpaper features,1
when you share screen in ipad your camera will shut down,camera shuts down during screen share,1
it keeps loading although my network is stable.,app keeps loading while having stable network,1
but i have one problem only i can not send messages to my friends,new update is better,0
"the screen is clear and the sound is heard very well, and i am using it very well.",want to switch to another streaming service,0
the movies are in very good quality,want to customize background,0
my app server goes down when i try to join my class.,app server goes down when trying to join class,1
i can not get into the chat room many times,want to access chat room,1
this app is not able to get me a new card,want to get card,1
"this app is creating trouble after the update as one cannot control the features such as mic on or off , video on or off after screen sharing starts.",want to control features after update,1
dear developers please add masks to phones,app has good image quality,0
very good working tool,good app for work,1
it is great how i create a page for a meeting room,good for creating a meeting room,1
user experience of this app is not very good.,video player is not working,0
but it does not what a disappointing app which version has virtual backgrounds?,want to mute phone,0
please insert vitual background in it,want wallpaper replacement feature,0
"in this situation, it is not possible to pay for a subscription in russia!",ui/ux is good,0
excellent for digital gathering,want to be anonymous in a meeting,0
this is amazing app for live streaming,want to uninstall headphones,0
"i can not delete a virtual background photo, how do i do it?",want to delete virtual background,1
"whenever i try it i get a connection error, and i check",want pip on ipad,0
the sound in the wireless headphones falls off intermittently for 1-2 minutes.,internet lags when there is a conference,0
bluetooth headset optimization is poorly done.,want simultaneous translation by splitting screen,0
can not delete messages pls do this issue otherwise good,unable to delete messages,1
but today zoom cloud is nothing support properly so i am rating 2 ..,zoom cloud is not supported properly,1
netflix is cheaper than disney+.,disney+ is cheaper than netflix,1
payment method is too difficult.with only one option credit card,unable to use full screen on android,0
"the app is nice, but it lacks a lot of content",sessions are getting expired,0
quite help me in tasks and other,want recording option in mobile,0
espn sucks it is so bad,total subscription amount is wasted,0
its supporting but poor networking system,want to update app on phone,0
sometimes the screen freezes,want to hear audio and gameplay is bad,0
it does not download memory crawled internet 4g,want to download memory,1
slow down the download,app downloading is too late,1
this app will help me to study in lockdown,good for remote management,0
